שולחן ערוך אורח חיים ד,כף החיים,"סעיף כ""א: צריך ליזהר בתפילה או באכילה שלא ליגע בשוק וירך",{{פרשע1|כהח|צד}},צד
שולחן ערוך אורח חיים ד,כף החיים,שם: לפי  שיש שם מלמולי זיעה,{{פרשע1|כהח|צה}},צה
שולחן ערוך אורח חיים ד,כף החיים,שם: לפי שיש שם מלמולי זיעה,{{פרשע1|כהח|צו}},צו
שולחן ערוך אורח חיים ד,כף החיים,שם: וכן שלא לחכך בראשו,{{פרשע1|כהח|צז}},צז
שולחן ערוך אורח חיים ד,כף החיים,שם: אבל מקומות המגולים בראשו ובפניו,{{פרשע1|כהח|צח}},צח
שולחן ערוך אורח חיים ד,כף החיים,שם: ומקום המגולה שבזרועותיו אין להקפיד,{{פרשע1|כהח|צט}},צט
שולחן ערוך אורח חיים ד,כף החיים,סעיף כב: אם אין לו מים יקנח ידיו בצרור,{{פרשע1|כהח|ק}},ק
שולחן ערוך אורח חיים ד,כף החיים,שם: יקנח ידיו בצרור,{{פרשע1|כהח|קא}},קא
שולחן ערוך אורח חיים ד,כף החיים,שם: יקנח ידיו בצרור,{{פרשע1|כהח|קב}},קב
שולחן ערוך אורח חיים ד,כף החיים,שם: יקנח ידיו בצרור,{{פרשע1|כהח|קג}},קג
שולחן ערוך אורח חיים ד,כף החיים,שם: אם אין לו מים,{{פרשע1|כהח|קד}},קד
שולחן ערוך אורח חיים ד,כף החיים,שם: ויברך על נקיות ידיים,{{פרשע1|כהח|קה}},קה
שולחן ערוך אורח חיים ד,כף החיים,"סעיף כ""ג: לא תיקנו נטילת ידיים אלא לקריאת שמע ולתפילה",{{פרשע1|כהח|קו}},קו
שולחן ערוך אורח חיים ד,כף החיים,שם: אבל ברכות דשחרית יכול לברך קודם נטילת ידיים,{{פרשע1|כהח|קז}},קז
שולחן ערוך אורח חיים ד,כף החיים,,{{פרשע1|כהח|קח}},קח
שולחן ערוך אורח חיים ד,כף החיים,שם: אלא אם כן הוא ישן על מיטתו ערום,{{פרשע1|כהח|קט}},קט
שולחן ערוך אורח חיים ד,כף החיים,שם: שאז אסור להזכיר את השם עד שינקה אותם,{{פרשע1|כהח|קי}},קי
